ticker,name,sector,bankruptcy_filing,bankrupt,filing_date,source_filing_end,source_filing_filed,company_size,sample_source
ENRNQ,Enron Corp,Energy,1,1,2001-12-02,,,Unknown,manual
LEHMQ,Lehman Brothers,Financials,1,1,2008-09-15,,,Unknown,manual
GM,General Motors (old),Consumer Discretionary,1,1,2009-06-01,,,Unknown,manual
SHLDQ,Sears Holdings,Consumer Discretionary,1,1,2018-10-15,2018-02-03,2018-03-23,Mid,manual
RSHCQ,RadioShack,Consumer Discretionary,1,1,2015-02-05,2013-12-31,2014-12-12,Mid,manual
CCTYQ,Circuit City,Consumer Discretionary,1,1,2008-11-10,,,Unknown,manual
BLOKQ,Blockbuster,Consumer Discretionary,1,1,2010-09-23,,,Unknown,manual
KMART,Kmart,Consumer Staples,1,1,2002-01-22,,,Unknown,manual
WCOM,WorldCom / MCI,Telecom,1,1,2002-07-21,,,Unknown,manual
WAMUQ,Washington Mutual,Financials,1,1,2008-09-26,,,Unknown,manual
CHTRQ,Charter Communications (old),Telecom,1,1,2009-03-27,,,Unknown,manual
PCRXQ,Pactera (Nortel Networks),Technology,1,1,2009-01-14,,,Unknown,manual
NORX,Nortel Networks,Technology,1,1,2009-01-14,,,Unknown,manual
AERAQ,American Airlines (old),Industrials,1,1,2011-11-29,2010-12-31,2011-02-16,Large,manual
DALRQ,Delta Air Lines (old),Industrials,1,1,2005-09-14,,,Unknown,manual
PCG,PG&E Corp,Utilities,1,1,2019-01-29,2017-12-31,2018-02-09,Large,manual
HTZGQ,Hertz Global Holdings,Industrials,1,1,2020-05-22,2019-12-31,2020-02-25,Large,manual
JCPNQ,J. C. Penney Company,Consumer Discretionary,1,1,2020-05-15,2020-02-01,2020-03-20,Mid,manual
CHKAQ,Chesapeake Energy,Energy,1,1,2020-06-28,2019-12-31,2020-02-27,Large,manual
WLL,Whiting Petroleum,Energy,1,1,2020-04-01,2019-12-31,2020-02-27,Mid,manual
DOFSQ,Diamond Offshore Drilling,Energy,1,1,2020-04-26,2019-12-31,2020-02-18,Mid,manual
BTU,Peabody Energy,Energy,1,1,2016-04-13,2015-12-31,2016-03-16,Large,manual
ARCH,Arch Coal,Energy,1,1,2016-01-11,2014-12-31,2015-02-27,Mid,manual
SUNEQ,SunEdison,Energy,1,1,2016-04-21,2014-12-31,2015-03-02,Large,manual
CZR,Caesars Entertainment Operating Co,Consumer Discretionary,1,1,2015-01-15,2013-12-31,2014-03-17,Large,manual
EFH,Energy Future Holdings,Utilities,1,1,2014-04-29,2012-12-31,2013-02-19,Large,manual
IHRTQ,iHeartMedia,Communication Services,1,1,2018-03-14,2016-12-31,2017-02-23,Large,manual
FTRCQ,Frontier Communications,Communication Services,1,1,2020-04-14,2019-12-31,2020-03-31,Large,manual
WINMQ,Windstream Holdings,Communication Services,1,1,2019-02-25,2017-12-31,2018-02-28,Large,manual
MNK,Mallinckrodt,Healthcare,1,1,2020-10-12,2019-12-27,2020-02-26,Large,manual
INTEQ,Intelsat,Communication Services,1,1,2020-05-13,2019-12-31,2020-02-20,Large,manual
GNC,GNC Holdings,Consumer Staples,1,1,2020-06-23,2019-12-31,2020-03-25,Mid,manual
REV,Revlon,Consumer Staples,1,1,2022-06-15,2021-12-31,2022-03-03,Mid,manual
BBBYQ,Bed Bath & Beyond,Consumer Discretionary,1,1,2023-04-23,2022-02-26,2022-04-21,Mid,manual
SIVBQ,SVB Financial Group,Financials,1,1,2023-03-17,2022-12-31,2023-02-24,Large,manual
RIDEQ,Lordstown Motors,Consumer Discretionary,1,1,2023-06-27,2022-12-31,2023-03-06,Small,manual
SDCCQ,SmileDirectClub,Healthcare,1,1,2023-09-29,2022-12-31,2023-02-28,Small,manual
WEWKQ,WeWork,Real Estate,1,1,2023-11-06,2022-12-31,2023-03-29,Large,manual
RAD,Rite Aid,Consumer Staples,1,1,2023-10-15,2023-03-04,2023-05-01,Mid,manual
YELLQ,Yellow Corp,Industrials,1,1,2023-08-06,2022-12-31,2023-02-09,Mid,manual
VORBQ,Virgin Orbit,Industrials,1,1,2023-04-04,2021-12-31,2022-03-31,Small,manual
PRTYQ,Party City Holdco,Consumer Discretionary,1,1,2023-01-17,2021-12-31,2022-02-28,Mid,manual
TUP,Tupperware Brands,Consumer Staples,1,1,2024-09-17,2022-12-31,2023-10-13,Small,manual
EXPRQ,Express,Consumer Discretionary,1,1,2024-04-22,2023-01-28,2023-03-31,Mid,manual
FSRN,Fisker,Consumer Discretionary,1,1,2024-06-17,2023-12-31,2024-04-23,Mid,manual
NVTAQ,Invitae,Healthcare,1,1,2024-02-13,2022-12-31,2023-02-28,Mid,manual
CANOQ,Cano Health,Healthcare,1,1,2024-02-04,2022-12-31,2023-03-15,Mid,manual
AUDAQ,Audacy,Communication Services,1,1,2024-01-07,2022-12-31,2023-03-16,Mid,manual
BIG,Big Lots,Consumer Discretionary,1,1,2024-09-09,2024-02-03,2024-04-18,Mid,manual
AAPL,Apple Inc,Technology,0,0,,2025-09-27,2025-10-31,Large,manual
MSFT,Microsoft Corp,Technology,0,0,,2025-06-30,2025-07-30,Large,manual
GOOGL,Alphabet Inc,Technology,0,0,,2025-12-31,2026-02-05,Large,manual
AMZN,Amazon.com,Consumer Discretionary,0,0,,2025-12-31,2026-02-06,Large,manual
JPM,JPMorgan Chase,Financials,0,0,,2025-12-31,2026-02-13,Large,manual
JNJ,Johnson & Johnson,Healthcare,0,0,,2025-12-28,2026-02-11,Large,manual
XOM,ExxonMobil,Energy,0,0,,2025-12-31,2026-02-18,Large,manual
WMT,Walmart,Consumer Staples,0,0,,2026-01-31,2026-03-13,Large,manual
VZ,Verizon Communications,Telecom,0,0,,2025-12-31,2026-02-17,Large,manual
GE,General Electric,Industrials,0,0,,2014-12-31,2015-02-27,Large,manual
BA,Boeing Co,Industrials,0,0,,2025-12-31,2026-01-30,Large,manual
DAL,Delta Air Lines (new),Industrials,0,0,,2025-12-31,2026-02-11,Large,manual
T,AT&T,Telecom,0,0,,2025-12-31,2026-02-09,Large,manual
CVS,CVS Health,Consumer Staples,0,0,,2025-12-31,2026-02-10,Large,manual
MRK,Merck & Co,Healthcare,0,0,,2025-12-31,2026-02-24,Large,manual
CHTR,Charter Communications,Communication Services,0,0,,2025-12-31,2026-01-30,Large,s&p500_auto_control
CMCSA,Comcast,Communication Services,0,0,,2025-12-31,2026-02-03,Large,s&p500_auto_control
DIS,Walt Disney Company (The),Communication Services,0,0,,2025-09-27,2025-11-13,Large,s&p500_auto_control
EA,Electronic Arts,Communication Services,0,0,,2025-03-31,2025-05-13,Large,s&p500_auto_control
FOX,Fox Corporation (Class B),Communication Services,0,0,,2025-06-30,2025-08-06,Large,s&p500_auto_control
FOXA,Fox Corporation (Class A),Communication Services,0,0,,2025-06-30,2025-08-06,Large,s&p500_auto_control
LYV,Live Nation Entertainment,Communication Services,0,0,,2025-12-31,2026-02-19,Large,s&p500_auto_control
META,Meta Platforms,Communication Services,0,0,,2025-12-31,2026-01-29,Large,s&p500_auto_control
ABNB,Airbnb,Consumer Discretionary,0,0,,2025-12-31,2026-02-12,Large,s&p500_auto_control
APTV,Aptiv,Consumer Discretionary,0,0,,2025-12-31,2026-02-06,Large,s&p500_auto_control
AZO,AutoZone,Consumer Discretionary,0,0,,2025-08-30,2025-10-27,Large,s&p500_auto_control
BBY,Best Buy,Consumer Discretionary,0,0,,2026-01-31,2026-03-18,Large,s&p500_auto_control
BKNG,Booking Holdings,Consumer Discretionary,0,0,,2025-12-31,2026-02-18,Large,s&p500_auto_control
CCL,Carnival,Consumer Discretionary,0,0,,2025-11-30,2026-01-27,Large,s&p500_auto_control
CMG,Chipotle Mexican Grill,Consumer Discretionary,0,0,,2025-12-31,2026-02-04,Mid,s&p500_auto_control
CVNA,Carvana,Consumer Discretionary,0,0,,2025-12-31,2026-02-18,Large,s&p500_auto_control
ADM,Archer Daniels Midland,Consumer Staples,0,0,,2025-12-31,2026-02-17,Large,s&p500_auto_control
BF-B,Brown–Forman,Consumer Staples,0,0,,2025-04-30,2025-06-13,Mid,s&p500_auto_control
BG,Bunge Global,Consumer Staples,0,0,,2025-12-31,2026-02-19,Large,s&p500_auto_control
