ticker,name,sector,year_filed,filing_date,sample_source,bankruptcy_filing,bankrupt,total_assets,total_liabilities,current_assets,current_liabilities,retained_earnings,revenue,net_income,ebit,interest_expense,stockholders_equity,long_term_debt,source_filing_end,source_filing_filed,source_filing_form,debt_to_equity,current_ratio,return_on_assets,interest_coverage,net_margin,market_cap,price,beta,pe_ratio,week52_high,week52_low,analyst_rating,shares_outstanding,company_size
ENRNQ,Enron Corp,Energy,2001.0,2001-12-02,manual,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
LEHMQ,Lehman Brothers,Financials,2008.0,2008-09-15,manual,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
GM,General Motors (old),Consumer Discretionary,2009.0,2009-06-01,manual,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
SHLDQ,Sears Holdings,Consumer Discretionary,2018.0,2018-10-15,manual,1,1,7262000000.0,10985000000.0,3812000000.0,4915000000.0,-5895000000.0,,-383000000.0,-430000000.0,539000000.0,-3723000000.0,3217000000.0,2018-02-03,2018-03-23,10-K,-2.9505774912704807,0.7755849440488302,-0.05274029193059763,-0.7977736549165121,,,,,,,,,,Mid
RSHCQ,RadioShack,Consumer Discretionary,2015.0,2015-02-05,manual,1,1,1591200000.0,1384800000.0,1333000000.0,584600000.0,960600000.0,,-400200000.0,-344000000.0,52300000.0,206400000.0,614100000.0,2013-12-31,2014-12-12,10-K/A,6.709302325581396,2.2801915839890525,-0.2515082956259427,-6.577437858508604,,,,,,,,,,Mid
CCTYQ,Circuit City,Consumer Discretionary,2008.0,2008-11-10,manual,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
BLOKQ,Blockbuster,Consumer Discretionary,2010.0,2010-09-23,manual,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
KMART,Kmart,Consumer Staples,2002.0,2002-01-22,manual,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
WCOM,WorldCom / MCI,Telecom,2002.0,2002-07-21,manual,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
WAMUQ,Washington Mutual,Financials,2008.0,2008-09-26,manual,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
