ticker,name,cik,sector,industry,date_added
MMM,3M,0000066740,Industrials,Industrial Conglomerates,1957-03-04
AOS,A. O. Smith,0000091142,Industrials,Building Products,2017-07-26
ABT,Abbott Laboratories,0000001800,Health Care,Health Care Equipment,1957-03-04
ABBV,AbbVie,0001551152,Health Care,Biotechnology,2012-12-31
ACN,Accenture,0001467373,Information Technology,IT Consulting & Other Services,2011-07-06
ADBE,Adobe Inc.,0000796343,Information Technology,Application Software,1997-05-05
AMD,Advanced Micro Devices,0000002488,Information Technology,Semiconductors,2017-03-20
AES,AES Corporation,0000874761,Utilities,Independent Power Producers & Energy Traders,1998-10-02
AFL,Aflac,0000004977,Financials,Life & Health Insurance,1999-05-28
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,2000-06-05
APD,Air Products,0000002969,Materials,Industrial Gases,1985-04-30
ABNB,Airbnb,0001559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2023-09-18
AKAM,Akamai Technologies,0001086222,Information Technology,Internet Services & Infrastructure,2007-07-12
ALB,Albemarle Corporation,0000915913,Materials,Specialty Chemicals,2016-07-01
ARE,Alexandria Real Estate Equities,0001035443,Real Estate,Office REITs,2017-03-20
ALGN,Align Technology,0001097149,Health Care,Health Care Supplies,2017-06-19
ALLE,Allegion,0001579241,Industrials,Building Products,2013-12-02
LNT,Alliant Energy,0000352541,Utilities,Electric Utilities,2016-07-01
ALL,Allstate,0000899051,Financials,Property & Casualty Insurance,1995-07-13
GOOGL,Alphabet Inc. (Class A),0001652044,Communication Services,Interactive Media & Services,2006-04-03
GOOG,Alphabet Inc. (Class C),0001652044,Communication Services,Interactive Media & Services,2014-04-03
MO,Altria,0000764180,Consumer Staples,Tobacco,1957-03-04
AMZN,Amazon,0001018724,Consumer Discretionary,Broadline Retail,2005-11-18
AMCR,Amcor,0001748790,Materials,Paper & Plastic Packaging Products & Materials,2019-06-07
AEE,Ameren,0001002910,Utilities,Multi-Utilities,1991-09-19
AEP,American Electric Power,0000004904,Utilities,Electric Utilities,1957-03-04
AXP,American Express,0000004962,Financials,Consumer Finance,1976-06-30
AIG,American International Group,0000005272,Financials,Multi-line Insurance,1980-03-31
AMT,American Tower,0001053507,Real Estate,Telecom Tower REITs,2007-11-19
AWK,American Water Works,0001410636,Utilities,Water Utilities,2016-03-04
AMP,Ameriprise Financial,0000820027,Financials,Asset Management & Custody Banks,2005-10-03
AME,Ametek,0001037868,Industrials,Electrical Components & Equipment,2013-09-23
AMGN,Amgen,0000318154,Health Care,Biotechnology,1992-01-02
APH,Amphenol,0000820313,Information Technology,Electronic Components,2008-09-30
ADI,Analog Devices,0000006281,Information Technology,Semiconductors,1999-10-12
AON,Aon plc,0000315293,Financials,Insurance Brokers,1996-04-23
APA,APA Corporation,0001841666,Energy,Oil & Gas Exploration & Production,1997-07-28
APO,Apollo Global Management,0001858681,Financials,Asset Management & Custody Banks,2024-12-23
AAPL,Apple Inc.,0000320193,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30
AMAT,Applied Materials,0000006951,Information Technology,Semiconductor Materials & Equipment,1995-03-16
APP,AppLovin,0001751008,Information Technology,Application Software,2025-09-22
APTV,Aptiv,0001521332,Consumer Discretionary,Automotive Parts & Equipment,2012-12-24
ACGL,Arch Capital Group,0000947484,Financials,Property & Casualty Insurance,2022-11-01
ADM,Archer Daniels Midland,0000007084,Consumer Staples,Agricultural Products & Services,1957-03-04
ARES,Ares Management,0001176948,Financials,Asset Management & Custody Banks,2025-12-11
ANET,Arista Networks,0001596532,Information Technology,Communications Equipment,2018-08-28
AJG,Arthur J. Gallagher & Co.,0000354190,Financials,Insurance Brokers,2016-05-31
AIZ,Assurant,0001267238,Financials,Multi-line Insurance,2007-04-10
